Similarity Score_105,Similarity Score_414,Similarity Score_417,Similarity Score_422,Similarity Score_430,Variance,Skewness,Kurtosis,Compactness,FD_Mag2,FD_Mag3,FD_Mag4,FD_Mag5,FD_Mag6,FD_Mag7,FD_Mag8,FD_Mag9,FD_Mag10,FD_Mag11,FD_Mag12,FD_Mag13,FD_Mag14,FD_Mag15,FD_Mag16,FD_Mag17,FD_Mag18,FD_Mag19,FD_Mag20,Label
88.35593111,90.51141119,84.60267016,91.06077868,89.54109304,6043.924,0.340807,1.824414,24.4059,0.333038605,0.012516875,0.028454904,0.002314483,0.007338672,0.002884855,0.003158079,0.000279914,0.002669834,0.001426455,0.001404328,0.000909421,0.002116473,0.000509768,0.001081759,0.000659889,0.001234772,0.00043438,0.000955962,RRII 105
89.41873114,91.418952,90.31976871,94.0657508,95.45221428,6193.92,0.397736,1.898981,22.9451,0.367348906,0.00575385,0.0277727,0.006642752,0.006920298,0.001703995,0.004266823,0.002518925,0.003429078,0.00070176,0.001857834,0.000540698,0.00207044,0.001618162,0.001502975,0.000412731,0.000291885,0.000531271,0.000942277,RRII 105
87.94376886,88.26802295,84.00693355,90.09170843,89.46738797,5412.818,0.378445,1.873337,22.32965,0.337172531,0.009387747,0.028233335,0.001240927,0.008083127,0.002485493,0.003073532,0.000574702,0.001885175,0.001004021,0.000537521,0.000750132,0.001334583,0.000272104,0.001085694,0.000402463,0.000821884,0.000768298,0.001199849,RRII 105
88.58246435,89.96884232,73.2300854,92.32622688,93.04185925,5369.071,0.360804,1.856266,23.64323,0.336459734,0.011676361,0.027217007,0.000611274,0.005831609,0.002985972,0.004443219,0.00116539,0.002698296,0.001764479,0.001530412,0.001337807,0.002274898,0.000579596,0.000807316,0.000300774,0.00085204,0.000866723,0.001107749,RRII 105
89.86421912,86.84944559,85.67914946,88.53268632,89.4856327,9395.311,0.56597,2.243843,75.27068,0.365650066,0.015179036,0.034132376,0.001208485,0.003326292,0.004559149,0.003989119,0.001557117,0.001838131,0.002950172,0.000742534,0.000770444,0.002173913,0.001262233,0.001224383,0.001430729,0.000793414,0.000625717,0.000888683,RRII 105
88.12964041,83.48481341,80.19398074,85.30351876,84.5545212,5246.328,0.263037,1.856136,21.35454,0.334691402,0.022553444,0.026200922,0.00282735,0.005450375,0.001172948,0.001585356,0.002760069,0.001227111,0.00049942,0.001269951,0.000792249,0.001016748,0.001071505,0.001712031,0.000521922,0.001342117,0.000251591,0.00062857,RRII 105
85.22925448,79.78044435,75.97970366,81.89383408,81.4912341,3192.433,0.376764,1.901188,20.8992,0.295292947,0.019280822,0.024880791,0.003815061,0.007827943,0.000957807,0.002075642,0.001220084,0.001807305,0.001091254,0.002053447,0.000851079,0.000688331,0.000920974,0.001249598,0.000237651,0.000825809,0.000428468,0.000379148,RRII 105
63.10352719,60.95147357,52.93377499,55.06906127,52.8190204,1848.509,0.430188,1.856072,19.54733,0.227337585,0.005376015,0.019535199,0.001682997,0.004167504,0.003016304,0.001543847,0.001095071,0.001028419,0.000792629,0.001373484,0.000549246,0.000821565,0.000397696,0.000933168,0.000756332,0.000711892,0.000225664,0.000573665,RRII 105
75.89067033,72.21227412,63.96669404,71.37911741,67.8618519,3241.798,0.367011,1.797755,20.71374,0.283332881,0.005449363,0.024628538,0.000574993,0.006769358,0.002598431,0.001980345,0.000890701,0.001838473,0.001319508,0.000822614,0.000791746,0.000986395,0.000341696,0.000398447,0.001091918,0.001303993,0.00057435,0.000459638,RRII 105
90.1909017,90.2587147,83.79956349,90.39192661,88.0382178,9381.651,-0.06505,2.222846,32.12183,0.346944047,0.0099464,0.034755582,0.002623598,0.00879618,0.00072648,0.005025838,0.000599043,0.002550722,0.001814055,0.001696061,0.001210433,0.001521436,0.000995928,0.00069004,0.001122585,0.001059826,0.000306037,0.000204807,RRII 105
